col1,col2,F606W,F814W,col5
1004.736,2789.878,28.75,27.48,1
1113.515,2927.569,26.875,26.087,1
1247.608,2756.835,25.501,25.001,1
1332.565,2907.863,23.302,22.636,1
1357.64,2840.626,28.384,27.541,1
1844.895,2815.555,24.031,23.592,1
1985.934,2755.131,25.488,24.887,1
2002.276,2919.539,27.045,26.24,1
2105.533,2933.872,27.462,26.858,1
2350.868,2838.679,23.499,22.984,1
3001.795,2880.946,26.875,26.496,1
3941.944,2740.664,25.793,25.19,1
4432.838,2897.414,26.995,26.567,1
4485.119,2870.669,29.505,28.79,1
620.939,3176.509,25.184,24.621,1
657.449,3156.387,26.124,25.478,1
1009.062,3168.365,25.173,24.692,1
1450.834,3164.894,27.127,26.317,1
1452.436,3181.791,25.507,24.945,1
1857.718,3099.462,28.128,27.098,1
2102.5,3181.529,24.494,23.99,1
2712.781,3197.222,27.669,27.396,1
3503.55,3163.721,24.147,23.763,1
3964.118,3237.374,25.99,25.388,1
4410.582,3023.86,28.911,28.24,1
1126.071,3286.849,25.906,25.347,1
1387.82,3351.977,28.844,30.143,1
1437.863,3306.69,29.506,28.396,1
2060.258,3323.662,26.427,25.771,1
2114.982,3321.483,24.836,22.034,1
2329.11,3404.567,29.397,28.731,1
2487.258,3442.311,25.161,24.573,1
2739.874,3329.032,29.588,31.145,1
593.529,3709.466,27.424,26.692,1
613.044,3667.452,25.828,25.152,1
644.127,3496.094,24.257,23.873,1
1198.724,3534.464,24.07,23.699,1
1206.763,3627.486,24.265,23.863,1
1243.844,3669.475,27.246,26.38,1
1274.446,3712.604,29.317,31.61,1
1344.708,3494.818,29.683,28.584,1
1339.187,3714.149,29.636,28.774,1
1799.052,3504.698,22.059,21.389,1
1789.396,3604.178,25.003,24.498,1
1929.076,3505.714,25.657,25.14,1
2128.135,3566.235,27.788,26.878,1
2247.938,3737.25,23.625,23.117,1
2286.535,3546.823,25.373,24.811,1
2650.424,3495.105,23.139,22.611,1
2685.721,3637.236,29.723,29.005,1
2742.428,3711.584,26.925,26.514,1
2922.654,3599.258,26.4,25.75,1
2930.679,3593.074,29.047,28.378,1
3109.441,3607.863,26.821,26.247,1
3572.663,3640.06,27.794,26.893,1
608.488,3805.154,28.077,26.909,1
754.044,3780.096,29.3,28.729,1
1156.164,3791.934,24.848,24.282,1
1384.139,3856.515,24.509,24.065,1
1584.823,3987.242,26.852,26.003,1
1848.183,3808.518,25.879,25.254,1
