col1,col2,F606W,F814W,col5
3652.451,587.651,22.911,21.432,1
3712.429,532.662,26.797,26.203,1
3694.984,561.357,20.214,19.371,1
3814.549,734.091,27.923,27.059,1
3901.743,660.328,27.56,26.75,1
4098.468,578.383,28.679,27.763,1
275.458,825.101,22.821,21.532,1
269.442,914.857,25.415,24.887,1
350.924,887.747,27.6,26.155,1
412.517,740.446,28.056,27.322,1
467.663,827.766,27.28,26.608,1
550.012,833.155,20.517,20.246,1
562.51,854.984,28.223,27.34,1
636.156,926.629,26.601,26.047,1
674.275,839.236,28.017,27.285,1
688.232,823.861,27.604,26.809,1
689.709,930.029,31.148,29.679,1
737.87,900.921,29.716,29.195,1
764.263,814.425,27.375,26.786,1
825.88,746.617,26.508,25.86,1
966.778,937.641,20.537,19.902,1
1004.652,984.957,25.952,25.387,1
1058.914,865.608,24.725,24.237,1
1084.245,768.686,25.219,22.642,1
1115.604,910.397,27.837,26.973,1
1180.554,778.067,23.826,23.198,1
1284.948,796.267,26.687,26.009,1
1335.087,856.726,26.098,25.553,1
1349.241,915.524,29.414,28.411,1
1338.979,949.574,24.599,24.087,1
1376.845,870.397,24.794,24.263,1
1387.818,910.661,26.168,25.577,1
1370.685,981.387,23.966,23.361,1
1396.02,767.294,26.634,26.051,1
1406.834,777.099,25.678,25.115,1
1410.163,963.846,24.174,23.637,1
1460.522,983.168,25.397,24.872,1
1467.46,810.122,21.304,20.549,1
1472.224,884.953,28.778,27.916,1
1469.177,925.712,26.393,25.784,1
1581.193,891.397,29.394,28.584,1
1571.832,939.904,26.537,25.825,1
1593.857,811.476,27.505,26.747,1
1709.31,891.424,27.623,26.679,1
1699.059,961.841,22.764,20.915,1
1734.319,799.324,27.992,27.148,1
1781.581,982.744,26.295,25.745,1
1791.401,784.418,26.274,25.737,1
1796.557,779.777,25.022,24.553,1
1802.657,816.052,32.504,29.668,1
1850.374,741.944,26.758,26.141,1
1853.363,982.806,25.895,25.228,1
1912.013,757.688,26.252,25.748,1
1932.638,781.191,27.159,26.554,1
1932.783,965.25,26.936,26.329,1
1943.96,922.491,25.947,25.312,1
1965.018,839.947,29.992,30.573,1
1984.929,942.45,25.692,25.131,1
2005.692,925.203,26.295,25.683,1
2040.138,808.208,26.174,25.547,1
2072.164,942.629,26.855,26.223,1
2086.718,945.913,24.895,24.382,1
2185.485,839.476,26.205,25.628,1
2237.276,817.063,25.616,25.125,1
2268.973,819.775,26.484,25.771,1
2299.624,758.778,24.051,23.511,1
2429.73,787.042,25.469,24.995,1
2433.269,797.179,27.954,27.335,1
2436.496,841.922,25.57,23.139,1
2456.116,935.604,25.353,23.345,1
2446.311,939.387,26.356,25.736,1
2485.143,849.95,26.25,25.624,1
2471.771,947.336,26.52,25.871,1
2504.609,745.871,25.009,24.526,1
2526.853,787.088,25.487,24.954,1
2522.241,962.023,29.661,28.742,1
2541.553,768.389,22.516,21.8,1
2557.004,779.191,26.457,25.853,1
2538.85,829.996,28.933,28.054,1
2554.999,978.153,26.968,26.141,1
2583.911,865.708,27.922,26.985,1
2594.206,739.888,26.79,26.162,1
2598.816,780.293,25.387,24.921,1
2605.081,836.299,28.85,27.808,1
2598.805,847.57,26.712,26.148,1
2639.107,756.582,27.073,26.403,1
2674.74,810.845,26.853,25.467,1
2683.86,848.966,27.599,26.821,1
2697.749,896.271,27.246,26.435,1
2720.117,837.284,26.939,26.288,1
2749.534,748.187,25.83,25.294,1
2835.621,775.189,21.544,21.352,1
2887.604,800.061,24.85,24.31,1
2867.18,855.033,27.415,26.666,1
2864.494,977.596,28.157,27.376,1
2907.163,811.92,26.456,25.784,1
2907.462,914.802,26.338,25.727,1
2912.621,946.907,28.148,27.382,1
2905.768,985.335,28.077,27.186,1
2935.75,742.03,24.685,23.485,1
2981.836,912.961,26.084,25.579,1
2982.462,932.852,28.978,27.918,1
3024.099,912.631,28.704,27.645,1
3015.847,974.066,26.348,25.709,1
3052.486,804.892,30.171,28.751,1
3129.548,771.451,27.117,26.416,1
3148.753,784.266,25.849,25.25,1
3166.238,799.878,26.318,25.754,1
3195.472,955.026,26.104,25.536,1
3291.697,974.815,26.24,25.678,1
3317.481,863.428,26.449,25.817,1
3325.937,950.227,24.906,24.394,1
3354.102,883.819,27.85,27.059,1
3386.176,752.223,23.594,21.301,1
3481.516,758.342,28.943,28.995,1
3546.317,895.031,24.947,24.38,1
3712.897,848.981,28.666,28.162,1
3704.468,937.998,25.48,24.93,1
3810.543,914.846,27.07,26.423,1
103.248,992.147,26.967,26.334,1
103.199,1223.461,25.313,24.793,1
183.753,1180.625,28.695,27.664,1
329.482,1097.685,28.831,27.805,1
404.747,1122.42,20.92,19.945,1
399.268,1174.604,27.353,26.651,1
419.672,1039.045,27.067,26.361,1
445.614,1162.833,28.091,28.032,1
464.917,1030.507,25.574,23.521,1
561.447,1185.526,26.761,26.14,1
611.753,1198.158,28.487,27.395,1
646.014,1015.189,28.687,27.799,1
709.977,1021.331,27.239,26.429,1
728.069,1157.354,26.214,25.667,1
819.093,995.801,25.759,25.184,1
846.924,1063.915,22.864,22.183,1
862.414,1189.168,28.493,27.625,1
897.065,1214.062,23.16,20.889,1
989.513,1055.855,26.176,25.586,1
1024.899,1063.345,25.873,25.356,1
1060.636,1074.596,27.476,26.69,1
1076.307,994.026,23.378,22.71,1
1093.19,1182.574,26.842,26.194,1
1122.211,1061.422,21.457,21.258,1
1118.579,1090.809,26.139,25.57,1
1138.089,994.503,23.981,23.345,1
1214.379,1055.57,28.701,27.822,1
1213.269,1075.476,28.471,27.374,1
1223.162,1157.44,25.23,22.97,1
1214.183,1225.984,28.791,27.844,1
