col1,col2,F606W,F814W,col5
3577.948,1122.628,26.0938,25.6094,1
3671.668,1049.993,28.0538,27.4044,1
3700.646,1207.61,25.5708,25.1814,1
3738.783,1024.125,27.2408,26.5804,1
3801.382,1077.944,25.9218,25.4444,1
3957.645,1134.226,27.4428,26.7814,1
4041.142,1067.56,24.9658,24.5004,1
4099.537,1219.46,27.8168,27.1854,1
4128.525,1170.865,27.2958,26.6814,1
4192.812,1121.313,25.3908,24.9474,1
4277.943,1214.854,25.0338,24.5864,1
4301.276,1109.354,25.4248,25.0094,1
4373.028,1150.077,25.4258,24.0424,1
4411.946,1089.519,27.9488,27.0294,1
4432.923,1180.832,28.6298,28.1804,1
4506.758,1112.96,26.6488,26.0704,1
4551.104,1217.133,27.8318,27.1584,1
4582.464,1181.767,27.1708,26.5194,1
712.124,1338.504,27.9138,27.1404,1
714.711,1456.367,27.2828,26.6344,1
884.396,1305.052,28.2758,27.9054,1
1084.832,1261.31,27.4038,26.7474,1
1108.497,1472.496,27.3158,26.6434,1
1203.75,1464.471,28.2218,27.4384,1
1229.222,1320.287,27.0678,26.4804,1
1244.547,1468.435,25.1048,24.6374,1
1263.203,1270.63,27.5058,26.8824,1
1346.166,1376.254,24.3277,23.8679,1
1521.894,1445.019,26.6998,26.0624,1
1711.017,1329.277,27.4038,26.7144,1
1690.006,1450.461,24.4712,23.9707,1
1698.141,1439.33,27.6228,26.9054,1
1721.642,1390.922,24.7968,24.2804,1
1771.94,1247.068,25.8788,25.4094,1
1788.316,1413.49,27.4368,26.6864,1
1817.284,1341.906,27.2898,26.6484,1
1869.174,1409.148,25.1048,24.6444,1
1864.694,1413.771,26.1228,25.6414,1
1908.52,1282.303,26.0758,25.6024,1
1930.36,1378.292,27.9558,27.2244,1
2002.386,1374.114,27.4398,26.7954,1
2048.272,1270.318,28.2918,27.4784,1
2178.956,1462.069,26.5888,26.0914,1
2228.943,1338.539,26.7458,26.1594,1
2223.239,1407.374,25.6468,25.1244,1
2283.161,1292.675,25.8778,25.3314,1
2298.56,1250.915,27.7828,27.0454,1
2340.723,1456.754,26.8218,26.3504,1
2380.146,1340.201,27.0778,25.5164,1
2386.01,1373.15,23.7698,21.4373,1
2412.032,1313.694,27.9708,27.2014,1
2401.571,1459.611,26.6128,25.9534,1
2443.314,1390.472,27.4948,26.7604,1
2510.645,1439.162,27.8578,27.0324,1
2538.51,1278.03,26.5908,25.9944,1
2612.755,1482.785,28.5058,27.6644,1
2626.315,1238.119,28.2398,27.4344,1
2659.914,1248.05,26.2438,25.7014,1
2659.046,1321.685,28.4448,27.6194,1
2725.371,1387.819,27.2868,26.6164,1
2716.348,1419.093,28.3958,27.6464,1
2755.011,1271.015,27.8098,27.1364,1
2755.772,1404.63,28.4468,27.6074,1
2755.589,1485.653,27.0148,26.4594,1
2757.891,1470.067,27.9478,27.0124,1
2779.689,1282.176,24.8698,24.4654,1
2779.091,1408.894,27.2838,26.6204,1
2804.776,1400.98,25.6628,25.3314,1
2845.291,1476.081,25.9138,25.3514,1
2925.637,1266.688,27.3098,26.7244,1
2919.321,1347.497,24.4223,23.8223,1
2962.517,1267.286,24.8398,24.4244,1
2956.144,1454.726,28.7388,27.5334,1
3054.733,1241.437,28.9358,28.1674,1
3086.861,1253.587,26.8928,26.3684,1
3065.417,1283.557,27.8738,27.0224,1
3074.18,1468.859,27.0958,26.5074,1
3091.018,1401.753,27.8248,27.1614,1
3168.64,1368.628,28.4838,27.6824,1
3197.176,1296.673,26.6608,26.1344,1
3208.465,1350.877,27.9368,27.2844,1
3193.055,1449.034,28.3218,27.5334,1
3243.448,1309.829,21.8867,21.1994,1
3260.535,1309.425,28.4548,27.6644,1
3246.181,1357.87,27.2428,26.6034,1
3274.02,1448.422,28.3598,27.4744,1
3326.866,1262.399,27.4178,26.7754,1
3352.376,1477.231,26.2118,25.6934,1
3498.737,1344.282,26.6068,26.0004,1
3513.416,1425.556,28.6848,27.8254,1
3604.172,1303.519,23.8946,23.8058,1
3662.607,1333.536,25.6108,25.0984,1
3694.044,1418.571,26.7238,26.1834,1
3725.768,1423.062,26.0028,25.5124,1
3752.821,1364.232,26.2568,25.7374,1
3782.325,1413.79,26.8768,26.3274,1
3763.374,1439.529,26.4838,25.9534,1
3795.665,1327.594,28.5558,27.7964,1
3824.873,1450.341,28.4988,27.6454,1
3841.447,1324.692,25.4208,24.9624,1
3910.73,1380.234,27.1048,26.5464,1
3895.975,1478.083,27.8898,27.1874,1
3919.522,1470.41,28.7458,27.7094,1
3999.486,1405.1,28.1848,27.3564,1
4032.318,1245.931,27.5728,26.9554,1
4092.414,1354.109,25.4548,24.9484,1
4101.56,1377.382,24.4962,24.08,1
4099.959,1475.294,28.2558,27.6394,1
4113.753,1341.987,27.4428,26.7774,1
4170.84,1297.584,24.7268,24.2614,1
4163.851,1411.309,27.2208,26.5964,1
4196.757,1355.728,27.5408,26.7594,1
4242.324,1317.624,27.1108,26.5464,1
4271.042,1422.477,28.0128,27.3094,1
4324.342,1326.938,27.0008,26.3484,1
4385.192,1284.215,28.5778,27.6134,1
4375.88,1465.227,27.5248,26.7694,1
4390.912,1363.959,27.5228,26.8654,1
4472.866,1387.23,28.6478,27.7254,1
4496.004,1333.577,26.2558,25.6924,1
4521.257,1326.41,26.2168,25.6674,1
4568.011,1349.878,26.5278,26.0154,1
4584.104,1371.411,28.0848,27.3654,1
4565.173,1459.601,27.4148,27.0504,1
606.754,1621.312,27.8508,27.1624,1
746.57,1531.3,24.5401,24.103,1
797.367,1549.949,27.9138,27.2604,1
795.278,1611.972,27.5668,26.8254,1
876.991,1607.761,26.9958,26.3004,1
901.061,1622.06,28.3488,27.5434,1
976.14,1566.593,26.6248,26.0924,1
992.67,1728.682,25.6768,25.2034,1
1105.196,1505.16,25.9158,25.3674,1
1113.929,1718.887,27.5208,26.9764,1
1131.146,1733.014,26.0248,25.4994,1
1206.116,1731.676,25.9928,25.3474,1
1218.378,1695.978,28.0878,27.2824,1
1288.571,1488.387,26.4608,25.9274,1
1373.885,1606.907,26.9828,26.3464,1
1406.115,1737.024,28.1008,27.2924,1
1430.009,1617.195,27.2798,26.6664,1
1557.809,1572.529,25.2608,24.7644,1
1544.995,1614.467,28.5578,27.7564,1
1562.809,1579.972,27.3368,26.6444,1
1616.354,1495.3,27.4748,26.8554,1
1640.533,1621.31,28.1898,27.4664,1
1694.657,1737.702,27.6018,26.9764,1
1765.07,1616.15,25.7948,25.3144,1
1768.386,1645.206,26.4388,25.8884,1
1869.627,1489.656,27.7508,27.0724,1
1867.042,1616.091,26.6248,26.0364,1
1884.509,1648.923,25.6768,25.1794,1
1872.295,1708.518,26.4258,25.8804,1
1950.102,1700.879,26.9208,26.3134,1
1975.926,1694.063,26.6868,26.1434,1
2015.772,1522.646,26.9118,26.2704,1
2024.434,1601.842,26.2678,25.8424,1
2054.257,1541.85,27.0218,26.4284,1
2083.5,1507.676,26.9668,26.3374,1
2084.924,1543.007,28.0998,27.3324,1
2120.14,1695.442,25.6648,25.1874,1
2181.548,1533.451,28.0438,27.2654,1
2243.35,1545.452,27.4438,26.6664,1
2252.21,1642.576,27.3968,26.7144,1
2280.153,1676.621,27.5588,26.9284,1
2267.776,1708.239,27.7188,27.0244,1
2303.302,1547.803,25.1848,24.7134,1
2334.159,1608.823,26.0678,25.5884,1
2352.082,1534.628,28.1938,27.4234,1
2376.381,1560.079,27.3988,26.7544,1
2434.189,1737.255,26.9708,26.3784,1
2451.017,1597.553,27.7468,27.0334,1
2502.063,1508.843,27.9048,27.0984,1
2491.214,1641.343,24.6404,24.1741,1
2586.892,1525.094,28.1648,27.3204,1
2580.901,1731.872,28.6378,27.6564,1
2596.539,1703.603,26.7838,26.2454,1
2631.395,1556.669,27.5238,26.8004,1
