col1,col2,F606W,F814W,col5
4432.534,1043.243,26.168,25.635,1
4453.701,996.571,28.444,27.536,1
4447.881,1050.634,27.723,26.996,1
4458.248,1080.421,26.724,26.07,1
4530.542,1186.829,26.023,25.534,1
4558.215,1179.995,25.5,25.026,1
4574.93,1159.653,26.946,26.363,1
4612.802,1044.269,26.6,26.028,1
4616.479,1000.121,24.022,23.437,1
4624.364,1008.075,24.048,23.659,1
4614.779,1180.78,29.239,28.123,1
744.201,1348.393,26.511,25.828,1
808.049,1416.969,27.333,26.696,1
860.444,1267.531,26.508,25.986,1
843.295,1357.57,24.198,23.529,1
874.425,1316.889,25.307,24.784,1
912.389,1423.221,25.878,25.372,1
959.598,1300.281,28.032,27.371,1
1045.692,1320.652,27.545,26.941,1
1075.606,1465.591,28.014,27.332,1
1101.933,1482.517,28.966,28.074,1
1141.694,1425.985,27.59,26.954,1
1208.986,1283.965,26.043,25.552,1
1193.005,1319.332,29.13,28.256,1
1330.398,1295.692,23.762,23.111,1
1358.837,1406.87,26.29,25.745,1
1364.677,1382.846,25.167,24.688,1
1418.984,1402.237,25.994,25.478,1
1475.123,1394.317,27.188,26.412,1
1485.326,1479.189,27.698,26.969,1
1644.151,1242.755,27.284,26.56,1
1646.919,1460.289,26.384,25.814,1
1752.995,1337.716,27.925,27.589,1
1822.106,1458.216,23.755,23.138,1
1879.272,1364.638,27.948,27.037,1
1895.342,1414.178,27.685,27.01,1
2060.483,1339.959,25.047,24.704,1
2050.163,1397.007,25.182,24.712,1
2117.198,1294.501,28.955,28.347,1
2113.093,1336.952,27.921,27.21,1
2119.164,1479.177,21.755,21.626,1
2148.516,1335.97,26.648,26.027,1
2176.99,1334.797,25.719,25.204,1
2279.819,1374.464,26.647,26.05,1
2304.143,1333.45,25.287,24.796,1
2434.622,1414.573,27.184,26.478,1
2456.345,1350.103,25.581,25.022,1
2463.58,1309.881,28.05,27.607,1
2478.033,1361.657,26.833,26.285,1
2498.757,1437.17,28.636,27.783,1
2607.592,1317.71,27.559,26.946,1
2623.81,1371.094,27.405,26.636,1
2631.526,1402.661,28.259,27.408,1
2651.644,1389.09,27.725,26.896,1
2652.815,1485.911,25.624,25.129,1
2664.318,1469.15,27.051,26.408,1
2710.978,1340.412,24.766,24.32,1
2688.027,1454.557,27.437,26.743,1
2722.917,1419.304,26.723,26.135,1
2729.714,1462.838,29.615,29.27,1
2754.906,1277.229,26.812,26.27,1
2765.161,1451.668,27.126,26.527,1
2862.528,1312.271,26.149,25.602,1
2872.035,1332.107,29.181,28.185,1
2882.601,1426.792,27.429,26.57,1
